MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20191231,AK,93.18,6.82,0.83,0.00,0.00,0.00,2019-12-31,2020-01-06,1
20191224,AK,93.18,6.82,0.83,0.00,0.00,0.00,2019-12-24,2019-12-30,1
20191217,AK,93.18,6.82,0.83,0.00,0.00,0.00,2019-12-17,2019-12-23,1
20191210,AK,92.48,7.52,0.83,0.00,0.00,0.00,2019-12-10,2019-12-16,1
20191203,AK,92.48,7.52,0.83,0.00,0.00,0.00,2019-12-03,2019-12-09,1
20191126,AK,91.17,8.83,0.83,0.00,0.00,0.00,2019-11-26,2019-12-02,1
20191119,AK,91.17,8.83,0.83,0.00,0.00,0.00,2019-11-19,2019-11-25,1
20191112,AK,90.29,9.71,3.96,0.00,0.00,0.00,2019-11-12,2019-11-18,1
20191105,AK,90.29,9.71,3.96,0.00,0.00,0.00,2019-11-05,2019-11-11,1
20191029,AK,90.29,9.71,3.96,2.00,0.00,0.00,2019-10-29,2019-11-04,1
20191022,AK,89.28,10.72,4.79,2.00,0.00,0.00,2019-10-22,2019-10-28,1
20191015,AK,89.28,10.72,4.79,2.00,0.00,0.00,2019-10-15,2019-10-21,1
20191008,AK,88.64,11.36,5.03,2.00,0.88,0.00,2019-10-08,2019-10-14,1
20191001,AK,88.64,11.36,5.03,2.00,0.88,0.00,2019-10-01,2019-10-07,1
20190924,AK,82.24,17.76,10.36,2.65,0.88,0.00,2019-09-24,2019-09-30,1
20190917,AK,76.18,23.82,11.89,5.87,1.50,0.00,2019-09-17,2019-09-23,1
20190910,AK,70.96,29.04,17.84,6.77,1.50,0.00,2019-09-10,2019-09-16,1
20190903,AK,69.10,30.90,17.84,6.77,1.50,0.00,2019-09-03,2019-09-09,1
20190827,AK,66.67,33.33,17.84,6.77,1.50,0.00,2019-08-27,2019-09-02,1
20190820,AK,66.67,33.33,11.19,4.58,1.32,0.00,2019-08-20,2019-08-26,1
20190813,AK,69.37,30.63,9.63,3.77,0.88,0.00,2019-08-13,2019-08-19,1
20190806,AK,50.86,49.14,11.64,2.00,0.88,0.00,2019-08-06,2019-08-12,1
20190730,AK,30.37,69.63,24.47,5.79,0.88,0.00,2019-07-30,2019-08-05,1
20190723,AK,30.37,69.63,24.47,5.79,0.88,0.00,2019-07-23,2019-07-29,1
20190716,AK,30.69,69.31,24.10,2.00,0.88,0.00,2019-07-16,2019-07-22,1
20190709,AK,37.65,62.35,5.24,1.65,0.88,0.00,2019-07-09,2019-07-15,1
20190702,AK,87.64,12.36,2.78,1.65,0.88,0.00,2019-07-02,2019-07-08,1
20190625,AK,87.64,12.36,2.78,1.65,0.88,0.00,2019-06-25,2019-07-01,1
20190618,AK,87.64,12.36,2.78,1.65,0.88,0.00,2019-06-18,2019-06-24,1
20190611,AK,94.17,5.83,2.78,1.65,0.88,0.00,2019-06-11,2019-06-17,1
