"raw_row_number" "date" "time" "location" "lat" "lng" "district" "subject_age" "subject_race" "subject_sex" "type" "arrest_made" "citation_issued" "warning_issued" "outcome" "contraband_found" "search_conducted" "search_vehicle" "search_basis" "reason_for_stop" "raw_search_vehicle_description" "raw_result_of_contact_description"
"1" 802943 "2015-05-13" "21:50:00" "16TH ST & VALENCIA ST" 37.7648283 -122.422184 NA NA "asian/pacific islander" "male" "vehicular" FALSE TRUE FALSE "citation" NA FALSE FALSE NA "Moving Violation" "No Search" "Citation"
"2" 833135 "2015-09-19" "00:28:00" "FRANKLIN AND SACRAMENTO" 37.7910973 -122.4241802 NA NA "white" "male" "vehicular" FALSE FALSE TRUE "warning" NA FALSE FALSE NA "Moving Violation" "No Search" "Warning"
"3" 842441 "2015-10-31" "06:36:00" "GEARY BLVD ANDFUNSTON" 37.7806128 -122.4717989 NA NA "white" "male" "vehicular" FALSE TRUE FALSE "citation" NA FALSE FALSE NA "Moving Violation" "No Search" "Citation"
"4" 814930 "2015-07-04" "19:33:00" "FLORIDA ST & 18TH ST" 37.7617118 -122.4111169 NA NA "black" "female" "vehicular" FALSE TRUE FALSE "citation" NA FALSE FALSE NA "Mechanical or Non-Moving Violation (V.C.)" "No Search" "Citation"
"5" 826335 "2015-08-20" "21:40:00" "MISSION ST & CASTLE MANOR AVE" 37.7292307 -122.4308447 NA NA "hispanic" "female" "vehicular" FALSE FALSE TRUE "warning" NA FALSE FALSE NA "Mechanical or Non-Moving Violation (V.C.)" "No Search" "Warning"
"6" 797398 "2015-04-20" "13:15:00" "EUCLID AV & PARKER AV" 37.7840343 -122.4546383 NA NA "white" "male" "vehicular" FALSE TRUE FALSE "citation" NA FALSE FALSE NA "Moving Violation" "No Search" "Citation"
"7" 802881 "2015-05-13" "18:02:00" "25TH&LUCKY" 37.73325 -122.48974 NA NA "hispanic" "male" "vehicular" FALSE TRUE FALSE "citation" FALSE TRUE TRUE "other" "Moving Violation" "Search without Consent, Negative Result" "Citation"
"8" 769745 "2015-01-04" "23:00:00" "NEWCOMB & 3RD ST" 37.7355753 -122.3903853 NA NA "hispanic" "male" "vehicular" FALSE FALSE TRUE "warning" NA FALSE FALSE NA "Mechanical or Non-Moving Violation (V.C.)" "No Search" "Warning"
"9" 772462 "2015-01-14" "09:45:00" "MISSION STREET& 17TH STREET" 37.7634446 -122.4195422 NA NA "black" "female" "vehicular" FALSE TRUE FALSE "citation" NA FALSE FALSE NA "Moving Violation" "No Search" "Citation"
"10" 781701 "2015-02-17" "09:28:00" "19TH ST & MISSION ST" 37.7602395 -122.4192312 NA NA "hispanic" "male" "vehicular" FALSE TRUE FALSE "citation" NA FALSE FALSE NA "Moving Violation" "No Search" "Citation"
"11" 827213 "2015-08-24" "18:15:00" "8 TH &BRANNAN" 37.7712701 -122.4054901 NA NA "other" "male" "vehicular" FALSE TRUE FALSE "citation" NA FALSE FALSE NA "Moving Violation" "No Search" "Citation"
"12" 819373 "2015-07-21" "14:55:00" "MASONIC AND PAGE ST" 37.771151 -122.4455526 FALSE NA "other" "male" "vehicular" FALSE FALSE TRUE "warning" NA FALSE FALSE NA "Moving Violation" "No Search" "Warning"
"13" 836135 "2015-10-02" "21:43:00" "SAN JOSE & SADOWA" 37.7123242 -122.4547014 NA NA "white" "male" "vehicular" FALSE FALSE TRUE "warning" NA FALSE FALSE NA "Mechanical or Non-Moving Violation (V.C.)" "No Search" "Warning"
"14" 805960 "2015-05-24" "17:50:00" "LYON ST & SUTTER ST" 37.7846267 -122.4448455 NA NA "other" "male" "vehicular" FALSE TRUE FALSE "citation" NA FALSE FALSE NA "Mechanical or Non-Moving Violation (V.C.)" "No Search" "Citation"
"15" 836577 "2015-10-04" "23:05:00" "JEFFERSON ST/ TAYLOR ST" 37.8083479 -122.415399 NA NA "white" "male" "vehicular" FALSE TRUE FALSE "citation" NA FALSE FALSE NA "MPC Violation" "No Search" "Citation"
"16" 775591 "2015-01-25" "12:28:00" "16TH/CAPP" 37.7651168 -122.4187272 NA NA "white" "female" "vehicular" FALSE TRUE FALSE "citation" NA FALSE FALSE NA "Moving Violation" "No Search" "Citation"
"17" 844555 "2015-11-09" "10:37:00" "FULTON ST & 19TH AVE" 37.7728662 -122.4777929 NA NA "other" "male" "vehicular" FALSE TRUE FALSE "citation" NA FALSE FALSE NA "Moving Violation" "No Search" "Citation"
"18" 771041 "2015-01-09" "08:23:00" "17TH/URANUS" 37.761883 -122.445331 FALSE NA "asian/pacific islander" "male" "vehicular" FALSE TRUE FALSE "citation" NA FALSE FALSE NA "Moving Violation" "No Search" "Citation"
"19" 837831 "2015-10-10" "17:45:00" "WASHINGTON ST & KEARNY ST" 37.7953329 -122.4049789 NA NA "hispanic" "female" "vehicular" FALSE TRUE FALSE "citation" NA FALSE FALSE NA "Mechanical or Non-Moving Violation (V.C.)" "No Search" "Citation"
"20" 855299 "2015-12-30" "23:40:00" "SHERWIN/SUNNYDALE" 37.7240366 -122.4575395 NA NA "black" "female" "vehicular" FALSE FALSE TRUE "warning" NA FALSE FALSE NA "Moving Violation" "No Search" "Warning"
"21" 785777 "2015-03-05" "01:15:00" "MISSION ST & 1ST ST" 37.7897755 -122.3975913 NA NA "hispanic" "male" "vehicular" FALSE TRUE FALSE "citation" NA FALSE FALSE NA "Mechanical or Non-Moving Violation (V.C.)" "No Search" "Citation"
"22" 783149 "2015-02-22" "11:25:00" "SHAFTER/JENNINGS" 37.728933 -122.3870135 NA NA "hispanic" "male" "vehicular" FALSE TRUE FALSE "citation" NA FALSE FALSE NA "Moving Violation" "No Search" "Citation"
"23" 846537 "2015-11-17" "18:13:00" "2ND ST & BRANNAN ST" 37.7818405 -122.3920885 NA NA "white" "female" "vehicular" FALSE TRUE FALSE "citation" NA FALSE FALSE NA "Moving Violation" "No Search" "Citation"
"24" 781320 "2015-02-16" "01:25:00" "DIVISADERO/FELL" 37.7740929 -122.4375942 FALSE NA "hispanic" "male" "vehicular" FALSE FALSE TRUE "warning" NA FALSE FALSE NA "Moving Violation" "No Search" "Warning"
"25" 770541 "2015-01-07" "19:50:00" "FELTON/DARTMOUTH" 37.727983 -122.4125181 NA NA "hispanic" "male" "vehicular" FALSE TRUE FALSE "citation" FALSE TRUE TRUE "consent" "Moving Violation" "Search with Consent, Negative Result" "Citation"
"26" 845145 "2015-11-11" "14:05:00" "4TH ST & HOWARD ST" 37.7832684 -122.4027358 NA NA "other" "male" "vehicular" FALSE TRUE FALSE "citation" NA FALSE FALSE NA "Moving Violation" "No Search" "Citation"
"27" 809673 "2015-06-10" "18:40:00" "CAMBRIDGE AT SONEYFORD" 37.731324 -122.4209749 NA NA "white" "male" "vehicular" FALSE TRUE FALSE "citation" NA FALSE FALSE NA "Mechanical or Non-Moving Violation (V.C.)" "No Search" "Citation"
"28" 842993 "2015-11-02" "22:00:00" "19TH & SLOAT" 37.734723 -122.4752275 NA NA "white" "male" "vehicular" FALSE TRUE FALSE "citation" NA FALSE FALSE NA "Mechanical or Non-Moving Violation (V.C.)" "No Search" "Citation"
"29" 797445 "2015-04-20" "16:53:00" "6TH AVE & BALBOA" 37.7772316 -122.4640343 NA NA "white" "male" "vehicular" FALSE TRUE FALSE "citation" NA FALSE FALSE NA "Moving Violation" "No Search" "Citation"
"30" 810144 "2015-06-13" "10:12:00" "CLEMENT & 8TH AVE" 37.7828525 -122.4665671 NA NA "other" "male" "vehicular" FALSE TRUE FALSE "citation" NA FALSE FALSE NA "Moving Violation" "No Search" "Citation"
"31" 844323 "2015-11-08" "02:35:00" "BORADWAY @ POLK" 37.7959293 -122.4217783 NA NA "white" "male" "vehicular" FALSE FALSE TRUE "warning" NA FALSE FALSE NA "Mechanical or Non-Moving Violation (V.C.)" "No Search" "Warning"
"32" 840764 "2015-10-23" "15:45:00" "7TH ST. & STEVENSON ST." 37.7800044 -122.4119522 NA NA "other" "male" "vehicular" FALSE TRUE FALSE "citation" NA FALSE FALSE NA "Moving Violation" "No Search" "Citation"
"33" 823447 "2015-08-08" "11:03:00" "OCEAN & CEDRO" 37.7277876 -122.4673176 NA NA "white" "female" "vehicular" FALSE TRUE FALSE "citation" NA FALSE FALSE NA "Mechanical or Non-Moving Violation (V.C.)" "No Search" "Citation"
"34" 853862 "2015-12-23" "14:30:00" "LAKE MERCED & SUNSET" 37.7295733 -122.493547 NA NA "asian/pacific islander" "male" "vehicular" FALSE TRUE FALSE "citation" NA FALSE FALSE NA "Mechanical or Non-Moving Violation (V.C.)" "No Search" "Citation"
"35" 828928 "2015-08-31" "23:12:00" "MISSION ST & 24TH ST" 37.7522458 -122.4184622 NA NA "white" "male" "vehicular" FALSE FALSE TRUE "warning" NA FALSE FALSE NA "Moving Violation" "No Search" "Warning"
"36" 810235 "2015-06-13" "22:10:00" "40TH LINCOLN" 37.7644997 -122.4997775 NA NA "black" "male" "vehicular" FALSE FALSE TRUE "warning" NA FALSE FALSE NA "Mechanical or Non-Moving Violation (V.C.)" "No Search" "Warning"
"37" 811771 "2015-06-21" "14:15:00" "10TH/MISSION" 37.7752838 -122.4159371 NA NA "other" "male" "vehicular" FALSE TRUE FALSE "citation" NA FALSE FALSE NA "Moving Violation" "No Search" "Citation"
"38" 823404 "2015-08-08" "00:40:00" "777 BROADWAY ST" 37.7972298 -122.4090525 NA NA "other" "male" "vehicular" FALSE TRUE FALSE "citation" NA FALSE FALSE NA "Moving Violation" "No Search" "Citation"
"39" 851770 "2015-12-12" "11:15:00" "19TH AVE. & WINSTON AVE." 37.7268762 -122.4750511 NA NA "hispanic" "female" "vehicular" FALSE FALSE TRUE "warning" NA FALSE FALSE NA "Mechanical or Non-Moving Violation (V.C.)" "No Search" "Warning"
"40" 840760 "2015-10-23" "15:10:00" "TURK/PIERCE" 37.7800853 -122.435432 NA NA "black" "female" "vehicular" FALSE FALSE TRUE "warning" NA FALSE FALSE NA "Moving Violation" "No Search" "Warning"
"41" 851304 "2015-12-09" "23:33:00" "TERRY FRANCOIS ST. & 3RD ST." 37.7762749 -122.3899616 NA NA "white" "female" "vehicular" FALSE TRUE FALSE "citation" NA FALSE FALSE NA "Moving Violation" "No Search" "Citation"
"42" 804888 "2015-05-20" "23:50:00" "19TH AVE AND KIRKHAM" 37.7598419 -122.4767623 NA NA "white" "female" "vehicular" FALSE FALSE TRUE "warning" NA FALSE FALSE NA "Mechanical or Non-Moving Violation (V.C.)" "No Search" "Warning"
"43" 806661 "2015-05-27" "01:08:00" "TURK ST & HYDE ST" 37.7826433 -122.4158513 NA NA "hispanic" "female" "vehicular" FALSE FALSE TRUE "warning" NA FALSE FALSE NA "Mechanical or Non-Moving Violation (V.C.)" "No Search" "Warning"
"44" 786730 "2015-03-08" "21:40:00" "388 CAPP ST" 37.7606086 -122.4185098 NA NA "black" "male" "vehicular" TRUE FALSE FALSE "arrest" FALSE TRUE TRUE "other" "Moving Violation" "Searched as a result of Probation or Parole Condition" "In Custody Arrest"
"45" 811417 "2015-06-19" "16:22:00" "QUINT AT CARROLL" 37.7302821 -122.4027251 NA NA "white" "female" "vehicular" FALSE FALSE TRUE "warning" NA FALSE FALSE NA "Moving Violation" "No Search" "Warning"
"46" 778061 "2015-02-04" "06:40:00" "S VAN NESS AND 17TH ST" 37.7635613 -122.4173765 NA NA "white" "male" "vehicular" FALSE TRUE FALSE "citation" NA FALSE FALSE NA "Mechanical or Non-Moving Violation (V.C.)" "No Search" "Citation"
"47" 784276 "2015-02-27" "05:50:00" "5173 MISSION ST" 37.715818 -122.441182 NA NA "hispanic" "male" "vehicular" FALSE FALSE TRUE "warning" NA FALSE FALSE NA "Mechanical or Non-Moving Violation (V.C.)" "No Search" "Warning"
"48" 769176 "2015-01-03" "00:35:00" "BAYSHORE& QUINT" 37.7299421 -122.4030707 NA NA "black" "female" "vehicular" FALSE TRUE FALSE "citation" NA FALSE FALSE NA "Mechanical or Non-Moving Violation (V.C.)" "No Search" "Citation"
"49" 843647 "2015-11-05" "05:21:00" "19TH & ORTEGA" 37.7523842 -122.4763789 NA NA "white" "male" "vehicular" FALSE TRUE FALSE "citation" NA FALSE FALSE NA "Mechanical or Non-Moving Violation (V.C.)" "No Search" "Citation"
"50" 791894 "2015-03-28" "17:13:00" "SELBY/OAKDALE" 37.7399155 -122.399673 NA NA "asian/pacific islander" "male" "vehicular" FALSE TRUE FALSE "citation" NA FALSE FALSE NA "Moving Violation" "No Search" "Citation"
"51" 781191 "2015-02-15" "16:36:00" "15TH STREET & MARKET STREET" 37.7659736 -122.4310356 NA NA "black" "male" "vehicular" FALSE FALSE TRUE "warning" NA FALSE FALSE NA "Moving Violation" "No Search" "Warning"
"52" 797478 "2015-04-20" "19:35:00" "ELWOOD/OFARRELL" 37.7749295 -122.4194155 NA NA "white" "male" "vehicular" FALSE TRUE FALSE "citation" NA FALSE FALSE NA "Mechanical or Non-Moving Violation (V.C.)" "No Search" "Citation"
"53" 828144 "2015-08-28" "13:20:00" "EVANS AVE/3RD ST" 37.7424128 -122.3876551 NA NA "hispanic" "female" "vehicular" FALSE FALSE TRUE "warning" NA FALSE FALSE NA "Moving Violation" "No Search" "Warning"
"54" 793278 "2015-04-03" "17:10:00" "88 MIDDLEFIELD ST" 37.732559 -122.486027 NA NA "white" "female" "vehicular" FALSE FALSE TRUE "warning" NA FALSE FALSE NA "Moving Violation" "No Search" "Warning"
"55" 824587 "2015-08-13" "11:00:00" "4TH ST/ FOLSOM ST" 37.7820395 -122.4011837 NA NA "black" "male" "vehicular" FALSE TRUE FALSE "citation" NA FALSE FALSE NA "Mechanical or Non-Moving Violation (V.C.)" "No Search" "Citation"
"56" 795101 "2015-04-10" "17:55:00" "SAN JOSE @ BROOKS" 37.3412108 -121.9228434 NA NA "asian/pacific islander" "male" "vehicular" FALSE TRUE FALSE "citation" NA FALSE FALSE NA "Mechanical or Non-Moving Violation (V.C.)" "No Search" "Citation"
"57" 786341 "2015-03-06" "22:51:00" "624 THIRD ST" 37.7794793 -122.3940284 NA NA "asian/pacific islander" "male" "vehicular" FALSE TRUE FALSE "citation" NA FALSE FALSE NA "Moving Violation" "No Search" "Citation"
